gene,mean_group1,mean_group2,delta_mean,effect_size,pct_group1,pct_group2
NUDT21,0.5524056855479773,0.6143816002942546,-0.06197591474627728,-0.17772315199024574,0.8339517625231799,0.8811700182815556
FEN1,0.27437553840389906,0.3337544888553729,-0.059378950451473844,-0.1777470640999505,0.49257884972170973,0.6349786715417542
ENY2,0.3793884820047372,0.4334501204427517,-0.054061638438014537,-0.17777459737007745,0.721706864564001,0.8068251066423087
IFNG-AS1,0.06562298151913522,0.10313608978092285,-0.03751310826178764,-0.17784389222103333,0.16141001855287546,0.23583180987202743
ANAPC11,0.55710638882556,0.620674931697934,-0.06356854287237401,-0.17786725702707873,0.8200371057513809,0.8793418647166561
CLASP2,0.23710347301759577,0.2881825535935207,-0.05107908057592492,-0.1778750622530006,0.5482374768089063,0.6459475929311513
GSK3B,0.3215195321089843,0.3758040640028961,-0.0542845318939118,-0.17798769383094237,0.6753246753246709,0.7568555758683886
MRTFA,0.1961195915250598,0.2442037983343349,-0.04808420680927508,-0.1780387445274298,0.48144712430426984,0.6130408287629601
MED29,0.1164677125678577,0.1511137429998688,-0.03464603043201109,-0.17818279395053832,0.3404452690166978,0.46739792809263203
EIF2B2,0.10163929332606424,0.13416949091788727,-0.03253019759182303,-0.17820944804042316,0.31539888682745804,0.42595978062157636
ATP6V0D1,0.19505787088589502,0.23695986422777013,-0.04190199334187511,-0.1782287128342552,0.5148423005565886,0.627056672760523
EXOC3-AS1,0.00983825485955702,0.022335426683467382,-0.012497171823910361,-0.17827733077712407,0.040816326530612256,0.08226691042047514
GALT,0.06381569967045564,0.09004369374399997,-0.026227994073544328,-0.17832985551933486,0.20686456400742034,0.30773918342474105
GDF11,0.008947964741883968,0.020743377057892743,-0.011795412316008775,-0.1783375416842964,0.03896103896103897,0.07739183424740999
TMX1,0.30928882351715675,0.3601649075119731,-0.05087608399481636,-0.1783445771223654,0.6521335807050058,0.7544180377818559
HIF1AN,0.07771083181822026,0.1075870511271519,-0.02987621930893164,-0.17837882803635757,0.24953617810760534,0.34186471663619866
EIF2B3,0.11479239364610662,0.15040102887910264,-0.035608635232996025,-0.178395115067799,0.33951762523191115,0.43936624009750613
IPO7,0.23695203671315457,0.2860346909747865,-0.04908265426163194,-0.17842523668935412,0.5510204081632661,0.6587446678854479
ZRANB2,0.5199920985676113,0.5832176697639178,-0.06322557119630645,-0.178465976060334,0.8311688311688201,0.8878732480195205
MMS22L,0.198384455425676,0.24960628537366533,-0.05122182994798932,-0.17848863382236682,0.45454545454545675,0.5484460694698439
LINC01730,0.003725606718668281,0.012993695863775509,-0.009268089145107229,-0.1785482849949947,0.012059369202226347,0.04814137720901891
SIDT1,0.14025701990563377,0.1825828864671925,-0.042325866561558734,-0.17856169355378446,0.36641929499072423,0.4783668494820291
KRR1,0.3714225112065549,0.4251070177619613,-0.05368450655540641,-0.17860188364728433,0.7300556586270804,0.8098720292504745
GIMAP4,0.6262006583808281,0.7105030847409646,-0.08430242636013652,-0.17865836115663392,0.7634508348793981,0.8708104814137917
KLC1,0.239144393371753,0.28753700799656035,-0.048392614624807345,-0.1787080316257659,0.5742115027829312,0.6758074344911768
IKBKG,0.1284703128480723,0.16349537257249588,-0.035025059724423574,-0.17876409992877915,0.39239332096475066,0.5015234613040896
ZMPSTE24,0.12356560148933783,0.15888748314871895,-0.03532188165938112,-0.17886555531667295,0.3580705009276443,0.48202315661182815
GBF1,0.24913882487244965,0.29964656558919317,-0.05050774071674352,-0.17896232617979818,0.5825602968460106,0.6806825106642421
ENSG00000291105,0.045285974392403616,0.07032007931374572,-0.0250341049213421,-0.17912343952230228,0.13450834879406318,0.22790981109079655
GALNT1,0.17563305786379343,0.22249672335920856,-0.046863665495415124,-0.1791774374545394,0.4471243042671635,0.5521023765996429
LIN52,0.13051532604688762,0.16943771573881702,-0.038922389691929404,-0.1792202520573665,0.3627087198515776,0.4722730042656974
RWDD2B,0.022387924062145986,0.04020572346462045,-0.017817799402474466,-0.17948251311508132,0.08719851576994446,0.1383302864107244
DDX21,0.6156589358415215,0.6877430152418875,-0.07208407940036599,-0.17950617877394148,0.843228200371046,0.8982327848872844
TTC1,0.2799122047387843,0.32940882761108664,-0.04949662287230233,-0.17956129167650922,0.6252319109461943,0.7251675807434637
FOCAD,0.08860745293595368,0.12323999223871054,-0.034632539302756865,-0.17964580170959954,0.24582560296845882,0.3558805606337616
NAIP,0.01564783506582013,0.030595679800258773,-0.014947844734438644,-0.1797963659130947,0.05473098330241192,0.11700182815356434
SF3B4,0.3504118369217098,0.4018298624022237,-0.051418025480513885,-0.17991770587896436,0.7189239332096412,0.7836684948202481
NEK7,0.2897718146909125,0.34865007011462035,-0.05887825542370784,-0.17992403547537753,0.6011131725417427,0.7007921998781368
CCDC85B,0.4148125605566279,0.4732397424811999,-0.05842718192457197,-0.1800837549468977,0.7495361781075991,0.8226691042047711
DAPK3,0.06873102033242877,0.09770747138649244,-0.02897645105406367,-0.18008476534887172,0.21614100185528665,0.33150517976843474
FMNL1-DT,0.09270467901168576,0.1261210286396236,-0.03341634962793784,-0.1801673417579286,0.28200371057513834,0.3906154783668524
ACADVL,0.28728660902083525,0.33725318438668356,-0.04996657536584831,-0.18025535075722013,0.6391465677179934,0.7434491163924588
SNHG31,0.013195838355953993,0.02981845299839068,-0.016622614642436688,-0.18030242123310972,0.0417439703153989,0.09872029250457003
HNRNPM,0.8722185246817126,0.941109770314053,-0.06889124563234039,-0.18034716621947802,0.9332096474953464,0.9652650822669333
ENSA,0.643274892548156,0.7064777145013658,-0.06320282195320981,-0.18036560821343015,0.8794063079777235,0.9226081657526113
MIR181A1HG,0.32853418843333754,0.4013830156109653,-0.07284882717762775,-0.18036713633481274,0.5779220779220776,0.6617915904936138
APOBEC3G,0.3585530278150291,0.4178027169092881,-0.059249689094258984,-0.1804335490899956,0.6762523191094575,0.7751371115173837
FBXO46,0.048101477364784484,0.07141868084082066,-0.023317203476036177,-0.18046431514176228,0.17903525046382143,0.25594149908592145
COPE,0.7794295700074163,0.8420613719956905,-0.06263180198827423,-0.18051888618058273,0.9174397031539742,0.9530773918342699
FABP5,0.7530789245988004,0.8426887702187793,-0.08960984561997887,-0.18056130313597674,0.8395176252318995,0.8939670932358522
TBC1D22A,0.29009486445557214,0.347344137509633,-0.057249273054060856,-0.18056214561716383,0.5964749536178097,0.7294332723948959
BUB1B,0.06931551921350075,0.10452368033635004,-0.03520816112284929,-0.1806077052351976,0.19109461966604763,0.26873857404021806
STAMBPL1,0.1609014424567245,0.20229573594788622,-0.04139429349116172,-0.1807045755952113,0.4406307977736569,0.5478366849482107
FDFT1,0.45748116535675143,0.5173265499442996,-0.05984538458754818,-0.18074915073234443,0.7875695732838498,0.8525289457647965
PEA15,0.0753672225166037,0.10513095859215377,-0.029763736075550065,-0.18076221354767283,0.22912801484229947,0.3558805606337616
YWHAE,0.6626561878573924,0.7274680970020535,-0.06481190914466106,-0.18088448870589185,0.8794063079777235,0.9213893967093449
MSRB1,0.04000135145744599,0.06216603956241286,-0.02216468810496687,-0.18109115951207216,0.1447124304267161,0.22486288848263083
MDM1,0.05575430774034493,0.08212228965956611,-0.026367981919221184,-0.18110420497036336,0.18923933209647437,0.2717854966483839
BORCS8,0.05792427037644932,0.08387660664839248,-0.025952336271943162,-0.18113848259970322,0.19202226345083426,0.2937233394271781
CTR9,0.25711976336914466,0.30628672477183116,-0.049166961402686504,-0.1812257580041781,0.5964749536178097,0.7074954296161017
IL19,0.0048460713631680525,0.017296831423792607,-0.012450760060624556,-0.18131977694388413,0.015769944341372917,0.05362583790371727
UNC5B-AS1,0.019945816517432033,0.04223086702673967,-0.02228505050930764,-0.18132211591445274,0.0500927643784787,0.11395490554539862
PSMA6,0.7672578758679669,0.8352918491266444,-0.06803397325867755,-0.1815719560481437,0.8979591836734555,0.9408897014016064
UBL7-DT,0.0896493603030847,0.12144576339156507,-0.03179640308848038,-0.1815817441921326,0.27551020408163174,0.38513101767215385
PPP2R3C,0.23545598833441084,0.28306373244879973,-0.047607744114388895,-0.18161005631059937,0.553803339517626,0.6672760511883123
TASOR,0.2468335146493754,0.296891812733951,-0.0500582980845756,-0.18166558479694728,0.5575139146567724,0.6867763558805738
SASS6,0.12892639791523616,0.16957081881659303,-0.040644420901356865,-0.18167130198118545,0.3487940630797777,0.45399146861670225
PYGO2,0.0445369063915404,0.06786184359693727,-0.02332493720539687,-0.18169215569071723,0.1539888682745824,0.2480195003046903
WASHC5,0.22146331939386188,0.27036802403443994,-0.048904704640578056,-0.18181742423446803,0.5426716141001867,0.6471663619744177
ATXN7L1,0.16892431854229048,0.2173243408223395,-0.048400022280049027,-0.18204027632630618,0.4155844155844171,0.5307739183424819
PPT2,0.007567502531556641,0.019276198091079607,-0.011708695559522966,-0.1821388889299042,0.03246753246753246,0.07373552711761112
HLA-V,0.004732700917750337,0.015626933330549396,-0.010894232412799059,-0.1821547957104498,0.014842300556586275,0.06032906764168193
NLRC5,0.3070989400111872,0.3634298166355232,-0.056330876624336,-0.18215905928418952,0.6576994434137254,0.7422303473491925
SLC4A2,0.033105338316566736,0.054380631520430926,-0.02127529320386419,-0.1821685369449029,0.11502782931354379,0.1968312004875062
ISY1,0.28250286731926993,0.3319815725510796,-0.04947870523180964,-0.1822562634011447,0.644712430426713,0.7343083485679612
CNPPD1,0.2166684033340551,0.2614223380378411,-0.044753934703786,-0.18245732696404204,0.5380333951762537,0.6733698964046441
CUL1,0.22806966520663222,0.2756069607801396,-0.04753729557350736,-0.1824734289879084,0.5491651205936929,0.6581352833638148
CBX6,0.12075030117384267,0.1570012348654728,-0.03625093369163013,-0.18250641614734806,0.35250463821892436,0.4655697745277325
RUBCN,0.06493970254164254,0.09298635619926139,-0.028046653657618853,-0.1826396465563383,0.21706864564007328,0.3071297989031079
MYCBP,0.2346079841717327,0.2814044656300696,-0.0467964814583369,-0.18288314734287608,0.558441558441559,0.6599634369287143
THOC6,0.13354720823046903,0.16985893768591057,-0.03631172945544153,-0.18291688616252041,0.3868274582560307,0.5112736136502204
ZFHX3-AS1,0.009132020441210741,0.021950088147729276,-0.012818067706518535,-0.18297222475626554,0.034322820037105746,0.07861060329067628
