TF,AHR,ASXL1,BACH2,BATF,BCL2,BHLHE40,BRD4,BRD7,CBLB,CREM,DNMT3A,EOMES,ETS1,EZH2,FOS,FOXO1,FOXO3,FOXP1,GATA3,HAVCR2,HDAC1,HDAC2,HDAC3,HDAC4,HDAC6,ID2,IKZF1,IKZF2,IKZF3,IRF4,IRF9,JUN,JUNB,KLF2,KLF7,KLHL22,LEF1,MAF,MDM2,MYB,MYC,NFATC1,NFATC2,NFATC3,NR4A2,NR4A3,PIM2,PRDM1,RBPJ,RUNX1,RUNX3,SIRT2,SOX4,STAT3,STAT5A,STAT5B,TBX21,TCF7,TET2,TOX,TOX2,TRIM21,ZEB1,ZEB2
DNMT3A,0.09090909090909091,0.3212121212121212,0.2,0.3939393939393939,-0.04242424242424243,0.11515151515151516,0.34545454545454546,0.1393939393939394,0.4303030303030303,-0.1393939393939394,1.0,0.11515151515151516,0.1393939393939394,0.5272727272727272,-0.10303030303030303,0.22424242424242424,-0.2606060606060606,-0.16363636363636364,-0.09090909090909091,0.18787878787878787,0.3333333333333333,0.3333333333333333,-0.09090909090909091,0.6242424242424243,0.01818181818181818,-0.5393939393939394,-0.10303030303030303,0.4909090909090909,0.3212121212121212,0.3090909090909091,-0.12727272727272726,-0.01818181818181818,-0.10303030303030303,-0.23636363636363636,-0.28484848484848485,0.05454545454545454,0.17575757575757575,-0.5878787878787879,0.3939393939393939,0.6363636363636364,-0.3575757575757576,0.22424242424242424,0.296969696969697,0.28484848484848485,0.030303030303030304,0.12727272727272726,0.41818181818181815,0.15151515151515152,-0.23636363636363636,0.5515151515151515,-0.09090909090909091,-0.07878787878787878,0.3939393939393939,0.06666666666666667,0.2606060606060606,0.01818181818181818,-0.05454545454545454,-0.07878787878787878,0.40606060606060607,0.5272727272727272,0.6,0.3090909090909091,0.3333333333333333,-0.1393939393939394
EOMES,-0.5878787878787879,-0.3939393939393939,-0.6727272727272727,0.40606060606060607,-0.24848484848484848,-0.7333333333333333,-0.11515151515151516,-0.2727272727272727,0.12727272727272726,-0.793939393939394,0.11515151515151516,1.0,0.5515151515151515,0.2727272727272727,-0.5393939393939394,-0.6,-0.38181818181818183,-0.6,-0.5151515151515151,0.3212121212121212,0.6727272727272727,0.3333333333333333,0.07878787878787878,0.05454545454545454,0.44242424242424244,-0.04242424242424243,0.28484848484848485,-0.34545454545454546,0.296969696969697,-0.3212121212121212,0.6121212121212121,-0.09090909090909091,-0.22424242424242424,-0.12727272727272726,-0.3333333333333333,0.5636363636363636,-0.07878787878787878,-0.3939393939393939,-0.3090909090909091,0.3333333333333333,-0.07878787878787878,0.45454545454545453,0.2727272727272727,0.5515151515151515,-0.6727272727272727,-0.6727272727272727,0.21212121212121213,-0.01818181818181818,-0.18787878787878787,0.2606060606060606,-0.4666666666666667,0.17575757575757575,-0.09090909090909091,-0.6484848484848484,-0.05454545454545454,0.3575757575757576,0.24848484848484848,-0.18787878787878787,-0.2,0.12727272727272726,0.3212121212121212,0.6121212121212121,-0.5393939393939394,-0.22424242424242424
ETS1,-0.7333333333333333,-0.7212121212121212,-0.5636363636363636,0.5151515151515151,0.2,-0.40606060606060607,-0.11515151515151516,-0.17575757575757575,0.006060606060606061,-0.18787878787878787,0.1393939393939394,0.5515151515151515,1.0,-0.16363636363636364,-0.07878787878787878,-0.6606060606060606,0.2606060606060606,-0.3212121212121212,-0.3212121212121212,0.5515151515151515,0.34545454545454546,0.24848484848484848,-0.45454545454545453,0.030303030303030304,0.503030303030303,0.45454545454545453,0.6484848484848484,0.030303030303030304,0.5757575757575758,-0.6121212121212121,0.6848484848484848,0.28484848484848485,0.006060606060606061,0.3333333333333333,-0.47878787878787876,0.3696969696969697,-0.23636363636363636,0.05454545454545454,-0.2727272727272727,-0.22424242424242424,-0.5393939393939394,0.05454545454545454,0.5393939393939394,0.793939393939394,-0.21212121212121213,-0.24848484848484848,0.16363636363636364,0.5272727272727272,-0.4909090909090909,0.3333333333333333,0.030303030303030304,0.5878787878787879,-0.24848484848484848,-0.2,-0.5636363636363636,0.2,0.6727272727272727,-0.24848484848484848,-0.2606060606060606,0.3696969696969697,-0.2,0.6484848484848484,-0.7696969696969697,0.2
EZH2,-0.07878787878787878,0.5757575757575758,-0.18787878787878787,0.3090909090909091,-0.6848484848484848,0.296969696969697,0.7454545454545455,0.5757575757575758,0.7696969696969697,-0.45454545454545453,0.5272727272727272,0.2727272727272727,-0.16363636363636364,1.0,-0.5757575757575758,0.01818181818181818,-0.6121212121212121,-0.6,-0.40606060606060607,0.44242424242424244,0.6848484848484848,0.7575757575757576,0.696969696969697,0.006060606060606061,0.18787878787878787,-0.7333333333333333,-0.40606060606060607,0.23636363636363636,0.5272727272727272,0.5878787878787879,-0.4909090909090909,-0.5515151515151515,-0.7575757575757576,-0.8787878787878788,-0.503030303030303,-0.38181818181818183,-0.3696969696969697,-0.696969696969697,0.7696969696969697,0.8545454545454545,-0.4303030303030303,0.16363636363636364,0.45454545454545453,0.3575757575757576,-0.3575757575757576,-0.07878787878787878,-0.2727272727272727,0.23636363636363636,-0.24848484848484848,0.6121212121212121,-0.006060606060606061,0.09090909090909091,0.3575757575757576,-0.1393939393939394,0.696969696969697,-0.2606060606060606,0.05454545454545454,-0.5878787878787879,0.6848484848484848,0.6,0.8909090909090909,0.4909090909090909,0.34545454545454546,0.23636363636363636
FOS,0.6242424242424243,0.17575757575757575,0.5515151515151515,-0.5393939393939394,0.3696969696969697,0.28484848484848485,-0.05454545454545454,-0.06666666666666667,-0.24848484848484848,0.6484848484848484,-0.10303030303030303,-0.5393939393939394,-0.07878787878787878,-0.5757575757575758,1.0,0.6121212121212121,0.6848484848484848,0.8545454545454545,0.8545454545454545,-0.5515151515151515,-0.8424242424242424,-0.5757575757575758,-0.6121212121212121,0.47878787878787876,-0.22424242424242424,0.44242424242424244,0.4303030303030303,0.12727272727272726,-0.44242424242424244,-0.11515151515151516,0.05454545454545454,0.8545454545454545,0.6363636363636364,0.3939393939393939,0.5272727272727272,-0.05454545454545454,0.3696969696969697,0.5272727272727272,-0.11515151515151516,-0.5757575757575758,0.3090909090909091,-0.006060606060606061,-0.01818181818181818,-0.40606060606060607,0.6242424242424243,0.5757575757575758,-0.01818181818181818,0.1393939393939394,0.5757575757575758,-0.5272727272727272,0.3696969696969697,-0.006060606060606061,-0.030303030303030304,0.6,-0.2,0.296969696969697,-0.16363636363636364,0.503030303030303,0.04242424242424243,-0.296969696969697,-0.5878787878787879,-0.6363636363636364,0.296969696969697,0.09090909090909091
FOXO1,0.9515151515151515,0.7696969696969697,0.7333333333333333,-0.44242424242424244,0.01818181818181818,0.503030303030303,0.2606060606060606,0.15151515151515152,0.1393939393939394,0.3575757575757576,0.22424242424242424,-0.6,-0.6606060606060606,0.01818181818181818,0.6121212121212121,1.0,0.2727272727272727,0.5878787878787879,0.7818181818181819,-0.6,-0.5393939393939394,-0.3212121212121212,-0.030303030303030304,0.503030303030303,-0.28484848484848485,-0.23636363636363636,-0.2606060606060606,0.3090909090909091,-0.503030303030303,0.5636363636363636,-0.4909090909090909,0.296969696969697,0.2606060606060606,-0.21212121212121213,0.45454545454545453,-0.2,0.3333333333333333,-0.006060606060606061,0.296969696969697,0.10303030303030303,0.44242424242424244,-0.006060606060606061,-0.2727272727272727,-0.6242424242424243,0.4303030303030303,0.4909090909090909,0.006060606060606061,-0.21212121212121213,0.6848484848484848,-0.28484848484848485,0.1393939393939394,-0.41818181818181815,0.22424242424242424,0.3696969696969697,0.4666666666666667,0.01818181818181818,-0.503030303030303,0.3212121212121212,0.3575757575757576,-0.2,0.10303030303030303,-0.6484848484848484,0.7696969696969697,-0.05454545454545454
FOXO3,0.22424242424242424,-0.22424242424242424,0.12727272727272726,-0.10303030303030303,0.4303030303030303,0.16363636363636364,-0.10303030303030303,-0.11515151515151516,-0.17575757575757575,0.4303030303030303,-0.2606060606060606,-0.38181818181818183,0.2606060606060606,-0.6121212121212121,0.6848484848484848,0.2727272727272727,1.0,0.3939393939393939,0.5151515151515151,-0.11515151515151516,-0.4666666666666667,-0.24848484848484848,-0.5878787878787879,-0.006060606060606061,0.3212121212121212,0.6848484848484848,0.41818181818181815,0.18787878787878787,-0.09090909090909091,-0.18787878787878787,0.1393939393939394,0.5878787878787879,0.38181818181818183,0.34545454545454546,0.1393939393939394,0.01818181818181818,-0.12727272727272726,0.47878787878787876,-0.18787878787878787,-0.696969696969697,0.05454545454545454,-0.44242424242424244,-0.030303030303030304,0.030303030303030304,0.3090909090909091,0.2727272727272727,-0.16363636363636364,0.24848484848484848,0.3212121212121212,-0.21212121212121213,0.3090909090909091,0.18787878787878787,-0.47878787878787876,0.10303030303030303,-0.3575757575757576,-0.006060606060606061,0.2727272727272727,0.05454545454545454,-0.2727272727272727,-0.22424242424242424,-0.6484848484848484,-0.28484848484848485,-0.2727272727272727,0.38181818181818183
FOXP1,0.6727272727272727,0.18787878787878787,0.7818181818181819,-0.793939393939394,0.44242424242424244,0.18787878787878787,-0.17575757575757575,-0.05454545454545454,-0.3696969696969697,0.7090909090909091,-0.16363636363636364,-0.6,-0.3212121212121212,-0.6,0.8545454545454545,0.5878787878787879,0.3939393939393939,1.0,0.7696969696969697,-0.7575757575757576,-0.9757575757575757,-0.8424242424242424,-0.47878787878787876,0.45454545454545453,-0.5636363636363636,0.28484848484848485,0.18787878787878787,-0.006060606060606061,-0.7090909090909091,-0.23636363636363636,0.04242424242424243,0.696969696969697,0.8181818181818182,0.4909090909090909,0.6848484848484848,-0.06666666666666667,0.6484848484848484,0.3696969696969697,-0.24848484848484848,-0.5515151515151515,0.41818181818181815,0.15151515151515152,-0.3212121212121212,-0.7212121212121212,0.7333333333333333,0.6363636363636364,0.15151515151515152,-0.07878787878787878,0.45454545454545453,-0.793939393939394,0.3939393939393939,-0.21212121212121213,0.3090909090909091,0.6242424242424243,-0.2,0.3333333333333333,-0.3575757575757576,0.793939393939394,-0.006060606060606061,-0.41818181818181815,-0.5636363636363636,-0.8303030303030303,0.45454545454545453,-0.1393939393939394
GATA3,0.7090909090909091,0.40606060606060607,0.6121212121212121,-0.47878787878787876,0.15151515151515152,0.3696969696969697,0.030303030303030304,0.006060606060606061,-0.06666666666666667,0.5515151515151515,-0.09090909090909091,-0.5151515151515151,-0.3212121212121212,-0.40606060606060607,0.8545454545454545,0.7818181818181819,0.5151515151515151,0.7696969696969697,1.0,-0.5636363636363636,-0.7696969696969697,-0.5878787878787879,-0.24848484848484848,0.4909090909090909,-0.3575757575757576,0.24848484848484848,0.05454545454545454,0.2606060606060606,-0.503030303030303,0.16363636363636364,-0.10303030303030303,0.5878787878787879,0.4666666666666667,0.17575757575757575,0.4303030303030303,0.01818181818181818,0.3212121212121212,0.4303030303030303,-0.04242424242424243,-0.3090909090909091,0.4666666666666667,0.01818181818181818,-0.18787878787878787,-0.5757575757575758,0.5757575757575758,0.503030303030303,0.07878787878787878,-0.04242424242424243,0.6484848484848484,-0.5393939393939394,0.2727272727272727,-0.07878787878787878,0.12727272727272726,0.5515151515151515,0.12727272727272726,0.16363636363636364,-0.22424242424242424,0.41818181818181815,0.17575757575757575,-0.23636363636363636,-0.2727272727272727,-0.5878787878787879,0.45454545454545453,-0.006060606060606061
HAVCR2,-0.7575757575757576,-0.22424242424242424,-0.5515151515151515,0.7090909090909091,-0.4666666666666667,0.18787878787878787,0.40606060606060607,0.41818181818181815,0.5636363636363636,-0.15151515151515152,0.18787878787878787,0.3212121212121212,0.5515151515151515,0.44242424242424244,-0.5515151515151515,-0.6,-0.11515151515151516,-0.7575757575757576,-0.5636363636363636,1.0,0.7090909090909091,0.806060606060606,0.34545454545454546,-0.47878787878787876,0.34545454545454546,0.09090909090909091,-0.11515151515151516,0.45454545454545453,0.9636363636363636,0.10303030303030303,-0.12727272727272726,-0.4909090909090909,-0.7090909090909091,-0.3575757575757576,-0.9515151515151515,-0.24848484848484848,-0.8303030303030303,-0.18787878787878787,0.3939393939393939,0.2,-0.7454545454545455,-0.41818181818181815,0.5515151515151515,0.8666666666666667,-0.2,-0.10303030303030303,-0.3090909090909091,0.6,-0.6727272727272727,0.7090909090909091,0.18787878787878787,0.7333333333333333,-0.15151515151515152,-0.11515151515151516,0.12727272727272726,-0.5878787878787879,0.806060606060606,-0.8666666666666667,0.28484848484848485,0.6242424242424243,0.28484848484848485,0.8424242424242424,-0.40606060606060607,0.5757575757575758
