TF1,TF2,correlation,abs_correlation
NFATC2,PRDM1,0.806060606060606,0.806060606060606
NR4A2,STAT3,0.806060606060606,0.806060606060606
NR4A3,STAT3,0.806060606060606,0.806060606060606
ASXL1,IRF4,0.793939393939394,0.793939393939394
BACH2,NR4A3,0.793939393939394,0.793939393939394
BRD7,MDM2,0.793939393939394,0.793939393939394
BRD7,RUNX3,0.793939393939394,0.793939393939394
ETS1,NFATC3,0.793939393939394,0.793939393939394
FOXP1,TCF7,0.793939393939394,0.793939393939394
IRF9,KLHL22,0.793939393939394,0.793939393939394
ASXL1,TET2,0.7818181818181819,0.7818181818181819
BACH2,FOXP1,0.7818181818181819,0.7818181818181819
BATF,HDAC1,0.7818181818181819,0.7818181818181819
BRD7,ZEB2,0.7818181818181819,0.7818181818181819
FOXO1,GATA3,0.7818181818181819,0.7818181818181819
HDAC2,NFATC3,0.7818181818181819,0.7818181818181819
IKZF3,RUNX1,0.7818181818181819,0.7818181818181819
JUNB,LEF1,0.7818181818181819,0.7818181818181819
KLHL22,PIM2,0.7818181818181819,0.7818181818181819
RUNX1,TRIM21,0.7818181818181819,0.7818181818181819
AHR,RBPJ,0.7696969696969697,0.7696969696969697
AHR,ZEB1,0.7696969696969697,0.7696969696969697
ASXL1,FOXO1,0.7696969696969697,0.7696969696969697
BACH2,ZEB1,0.7696969696969697,0.7696969696969697
CBLB,EZH2,0.7696969696969697,0.7696969696969697
EZH2,MDM2,0.7696969696969697,0.7696969696969697
FOXO1,ZEB1,0.7696969696969697,0.7696969696969697
FOXP1,GATA3,0.7696969696969697,0.7696969696969697
IKZF1,JUN,0.7696969696969697,0.7696969696969697
KLF7,LEF1,0.7696969696969697,0.7696969696969697
RUNX3,ZEB2,0.7696969696969697,0.7696969696969697
AHR,BACH2,0.7575757575757576,0.7575757575757576
BHLHE40,BRD7,0.7575757575757576,0.7575757575757576
CBLB,STAT5A,0.7575757575757576,0.7575757575757576
EZH2,HDAC2,0.7575757575757576,0.7575757575757576
PRDM1,RUNX3,0.7575757575757576,0.7575757575757576
SIRT2,ZEB2,0.7575757575757576,0.7575757575757576
BHLHE40,TET2,0.7454545454545455,0.7454545454545455
BRD4,EZH2,0.7454545454545455,0.7454545454545455
IKZF3,TBX21,0.7454545454545455,0.7454545454545455
IKZF3,TOX,0.7454545454545455,0.7454545454545455
JUNB,KLF2,0.7454545454545455,0.7454545454545455
NFATC2,TOX,0.7454545454545455,0.7454545454545455
PRDM1,TBX21,0.7454545454545455,0.7454545454545455
STAT5A,TET2,0.7454545454545455,0.7454545454545455
TOX,TRIM21,0.7454545454545455,0.7454545454545455
BACH2,FOXO1,0.7333333333333333,0.7333333333333333
CBLB,MDM2,0.7333333333333333,0.7333333333333333
FOXP1,NR4A2,0.7333333333333333,0.7333333333333333
HAVCR2,SIRT2,0.7333333333333333,0.7333333333333333
FOXP1,HDAC1,-0.9757575757575757,0.9757575757575757
HAVCR2,KLF7,-0.9515151515151515,0.9515151515151515
HDAC2,TCF7,-0.9030303030303031,0.9030303030303031
IKZF3,KLF7,-0.9030303030303031,0.9030303030303031
ID2,MYB,-0.8909090909090909,0.8909090909090909
EZH2,KLF2,-0.8787878787878788,0.8787878787878788
HDAC2,JUNB,-0.8787878787878788,0.8787878787878788
HAVCR2,TCF7,-0.8666666666666667,0.8666666666666667
IKZF3,TCF7,-0.8666666666666667,0.8666666666666667
KLF2,STAT5A,-0.8666666666666667,0.8666666666666667
BRD7,KLHL22,-0.8545454545454545,0.8545454545454545
MYC,TOX,-0.8545454545454545,0.8545454545454545
BHLHE40,IRF9,-0.8424242424242424,0.8424242424242424
FOS,HDAC1,-0.8424242424242424,0.8424242424242424
FOXP1,HDAC2,-0.8424242424242424,0.8424242424242424
ID2,TOX2,-0.8424242424242424,0.8424242424242424
IRF4,IRF9,-0.8424242424242424,0.8424242424242424
BCL2,STAT5A,-0.8303030303030303,0.8303030303030303
BHLHE40,KLHL22,-0.8303030303030303,0.8303030303030303
CBLB,KLF2,-0.8303030303030303,0.8303030303030303
FOXP1,TRIM21,-0.8303030303030303,0.8303030303030303
HAVCR2,LEF1,-0.8303030303030303,0.8303030303030303
