TF1,TF2,correlation,abs_correlation
TBX21,TCF7,-0.7090909090909091,0.7090909090909091
BRD7,KLF7,-0.696969696969697,0.696969696969697
CREM,IKZF3,-0.696969696969697,0.696969696969697
KLF7,NFATC3,-0.696969696969697,0.696969696969697
TCF7,TOX,-0.696969696969697,0.696969696969697
ZEB1,ZEB2,-0.696969696969697,0.696969696969697
CREM,NFATC3,-0.6848484848484848,0.6848484848484848
EOMES,MAF,-0.6848484848484848,0.6848484848484848
FOXP1,HDAC1,-0.6848484848484848,0.6848484848484848
BACH2,TBX21,-0.6727272727272727,0.6727272727272727
CREM,HAVCR2,-0.6727272727272727,0.6727272727272727
HDAC2,TCF7,-0.6727272727272727,0.6727272727272727
HDAC4,ZEB2,-0.6727272727272727,0.6727272727272727
JUNB,TBX21,-0.6727272727272727,0.6727272727272727
FOXO1,NFATC3,-0.6606060606060606,0.6606060606060606
STAT5B,ZEB2,-0.6606060606060606,0.6606060606060606
TBX21,ZEB1,-0.6606060606060606,0.6606060606060606
CREM,ZEB2,-0.6484848484848484,0.6484848484848484
FOXP1,NFATC3,-0.6484848484848484,0.6484848484848484
HAVCR2,JUN,-0.6484848484848484,0.6484848484848484
HDAC1,KLF7,-0.6484848484848484,0.6484848484848484
KLF7,SIRT2,-0.6484848484848484,0.6484848484848484
NFATC3,RBPJ,-0.6484848484848484,0.6484848484848484
BACH2,HDAC2,-0.6363636363636364,0.6363636363636364
BHLHE40,FOXP1,-0.6363636363636364,0.6363636363636364
EOMES,NR4A3,-0.6363636363636364,0.6363636363636364
GATA3,ZEB2,-0.6363636363636364,0.6363636363636364
IKZF3,KLF7,-0.6363636363636364,0.6363636363636364
NFATC3,ZEB1,-0.6363636363636364,0.6363636363636364
AHR,IKZF3,-0.6242424242424243,0.6242424242424243
BACH2,ZEB2,-0.6242424242424243,0.6242424242424243
BRD7,FOS,-0.6242424242424243,0.6242424242424243
FOXO1,ZEB2,-0.6242424242424243,0.6242424242424243
HAVCR2,JUNB,-0.6242424242424243,0.6242424242424243
HAVCR2,KLF7,-0.6242424242424243,0.6242424242424243
HAVCR2,LEF1,-0.6242424242424243,0.6242424242424243
EOMES,FOXP1,-0.6121212121212121,0.6121212121212121
BCL2,ZEB2,-0.6,0.6
FOS,IKZF3,-0.6,0.6
HDAC2,JUN,-0.6,0.6
ID2,LEF1,-0.6,0.6
BRD7,JUNB,-0.5878787878787879,0.5878787878787879
GATA3,NFATC3,-0.5878787878787879,0.5878787878787879
HAVCR2,STAT3,-0.5878787878787879,0.5878787878787879
HDAC1,MAF,-0.5878787878787879,0.5878787878787879
IKZF3,STAT3,-0.5878787878787879,0.5878787878787879
IKZF3,ZEB1,-0.5878787878787879,0.5878787878787879
JUNB,NFATC3,-0.5878787878787879,0.5878787878787879
KLF2,ZEB2,-0.5878787878787879,0.5878787878787879
RBPJ,ZEB2,-0.5878787878787879,0.5878787878787879
AHR,HAVCR2,-0.5757575757575758,0.5757575757575758
AHR,NFATC3,-0.5757575757575758,0.5757575757575758
BACH2,IKZF3,-0.5757575757575758,0.5757575757575758
CBLB,FOXP1,-0.5757575757575758,0.5757575757575758
FOS,HAVCR2,-0.5757575757575758,0.5757575757575758
FOXP1,TBX21,-0.5757575757575758,0.5757575757575758
HDAC1,JUN,-0.5757575757575758,0.5757575757575758
IKZF3,RBPJ,-0.5757575757575758,0.5757575757575758
AHR,TBX21,-0.5636363636363636,0.5636363636363636
BACH2,BRD7,-0.5636363636363636,0.5636363636363636
BRD7,RBPJ,-0.5636363636363636,0.5636363636363636
EOMES,NR4A2,-0.5636363636363636,0.5636363636363636
FOS,HDAC1,-0.5636363636363636,0.5636363636363636
HDAC1,STAT3,-0.5636363636363636,0.5636363636363636
IKZF3,LEF1,-0.5636363636363636,0.5636363636363636
